en_term;en_definition;ru_term;ru_definition
180;a straight angle, equivalent to half a full rotation (360), forming a straight line.;180;развёрнутый угол, равный половине полного оборота (360), образующий прямую линию.
90;a right angle, which is exactly one-quarter of a full rotation (360), measuring 90 degrees.;90;прямой угол, равный точно одной четверти полного оборота (360), составляющий 90 градусов.
a priori probability;the probability of an event derived from logical reasoning or prior knowledge, without empirical data.;априорная вероятность;вероятность события, выведенная из логических рассуждений или предварительных знаний, без эмпирических данных.
a2 system;a classification system for molecular symmetry, denoting a specific point group in chemistry where molecules have a two-fold rotational axis and no other symmetry elements.;система a2;система классификации молекулярной симметрии, обозначающая определённую точечную группу в химии, где молекулы имеют двукратную ось вращения и отсутствуют другие элементы симметрии.
Abbe refractometer equation;an equation relating the refractive index of a substance to the critical angle of refraction, used in Abbe refractometers to measure refractive indices accurately.;уравнение рефрактометра Аббе;уравнение, связывающее показатель преломления вещества с критическим углом преломления, используемое в рефрактометрах Аббе для точного измерения показателей преломления.
absolute entropy;the entropy of a substance at a given temperature, calculated relative to a perfect crystal at absolute zero, where entropy is zero. It provides a reference for thermodynamic calculations.;абсолютная энтропия;энтропия вещества при заданной температуре, рассчитанная относительно идеального кристалла при абсолютном нуле, где энтропия равна нулю. Используется как эталон в термодинамических расчётах.
absolute temperature scale;a temperature scale that measures temperature relative to absolute zero, the theoretical lowest possible temperature where all thermal motion ceases. The Kelvin scale is the most commonly used absolute temperature scale in scientific contexts.;абсолютная температурная шкала;температурная шкала, измеряющая температуру относительно абсолютного нуля — теоретически минимальной температуры, при которой прекращается тепловое движение. Шкала Кельвина — наиболее распространённая абсолютная шкала в науке.
absolute zero;the lowest possible temperature, theoretically at which the motion of particles that constitutes heat would be minimal, defined as 0 K on the Kelvin scale, equivalent to -273.15°C or -459.67°F.;абсолютный нуль;наименьшая возможная температура, при которой тепловое движение частиц минимально, равная 0 K по шкале Кельвина, что соответствует -273,15°C или -459,67°F.
absorbance;a logarithmic measure of the amount of light absorbed by a sample at a specific wavelength, defined as A = -log10(T), where T is the transmittance of the sample. It is commonly used in spectroscopy to quantify the concentration of a solute in a solution via the Beer-Lambert law.;оптическая плотность;логарифмическая мера количества света, поглощаемого образцом на определённой длине волны, определяемая как A = -log10(T), где T — пропускание образца. Широко используется в спектроскопии для количественного определения концентрации растворённого вещества с помощью закона Бугера-Ламберта-Бера.
absorption;the process by which atoms, molecules, or ions enter a bulk phase (gas, liquid, or solid) and are taken up by its volume, distinct from adsorption which occurs at a surface. In chemistry, it often refers to the uptake of substances by liquids or solids.;абсорбция;процесс, при котором атомы, молекулы или ионы проникают в объём фазы (газ, жидкость или твёрдое тело) и поглощаются ею, в отличие от адсорбции, происходящей на поверхности. В химии часто означает поглощение веществ жидкостями или твёрдыми телами.
