en_term_no_stopwords;en_definition_no_stopwords;ru_term_no_stopwords;ru_definition_no_stopwords
180;straight angle equivalent half rotation 360 forming straight line;180;развёрнутый угол равный половине полного оборота 360 образующий прямую линию
90;right angle exactly onequarter rotation 360 measuring 90 degrees;90;прямой угол равный четверти полного оборота 360 составляющий 90 градусов
priori probability;probability event derived logical reasoning prior knowledge empirical data;априорная вероятность;вероятность события выведенная логических рассуждений предварительных знаний эмпирических
a2 system;classification system molecular symmetry denoting specific point group chemistry molecules twofold rotational axis symmetry elements;система a2;система классификации молекулярной симметрии обозначающая определённую точечную группу химии молекулы имеют двукратную ось вращения отсутствуют элементы симметрии
abbe refractometer equation;equation relating refractive index substance critical angle refraction abbe refractometers measure refractive indices accurately;уравнение рефрактометра аббе;уравнение связывающее показатель преломления вещества критическим углом преломления используемое рефрактометрах аббе точного измерения показателей преломления
absolute entropy;entropy substance given temperature calculated relative perfect crystal absolute zero entropy zero provides reference thermodynamic calculations;абсолютная энтропия;энтропия вещества заданной температуре рассчитанная относительно идеального кристалла абсолютном нуле энтропия равна нулю используется эталон термодинамических расчётах
absolute temperature scale;temperature scale measures temperature relative absolute zero theoretical lowest possible temperature thermal motion ceases kelvin scale commonly absolute temperature scale scientific contexts;абсолютная температурная шкала;температурная шкала измеряющая температуру относительно абсолютного нуля теоретически минимальной температуры прекращается тепловое движение шкала кельвина распространённая абсолютная шкала науке
absolute zero;lowest possible temperature theoretically motion particles constitutes heat minimal defined 0 k kelvin scale equivalent 27315 ° c 45967 ° f;абсолютный нуль;наименьшая возможная температура тепловое движение частиц минимально равная 0 k шкале кельвина соответствует 27315 ° c 45967 ° f
absorbance;logarithmic measure light absorbed sample specific wavelength defined log10 t t transmittance sample commonly spectroscopy quantify concentration solute solution beerlambert law;оптическая плотность;логарифмическая мера количества света поглощаемого образцом определённой длине волны определяемая a log10 t t пропускание образца широко используется спектроскопии количественного определения концентрации растворённого вещества помощью закона бугераламбертабера
absorption;process atoms molecules ions enter bulk phase gas liquid solid taken volume distinct adsorption occurs surface chemistry refers uptake substances liquids solids;абсорбция;процесс атомы молекулы ионы проникают объём фазы газ жидкость твёрдое тело поглощаются отличие адсорбции происходящей поверхности химии означает поглощение веществ жидкостями твёрдыми телами
absorption coefficient;measure light radiation absorbed material unit distance typically expressed units inverse length eg cm⁻¹ quantifies attenuation intensity electromagnetic waves pass medium;коэффициент поглощения;мера света другого излучения поглощается материалом единицу расстояния выражается единицах обратной длины см⁻¹ количественно характеризует ослабление интенсивности электромагнитных волн прохождении среду
absorption intensity;measure light absorbed substance specific wavelength determine concentration spectroscopy;интенсивность поглощения;мера количества света поглощаемого веществом определённой длине волны используемая определения концентрации спектроскопии
absorption spectra;graphs showing light absorbed substance different wavelengths identify quantify materials unique absorption patterns;спектры поглощения;графики показывающие количество света поглощаемого веществом разных длинах волн используемые идентификации количественного анализа материалов уникальным спектрам поглощения
absorption spectroscopy;technique measures absorption electromagnetic radiation substance function wavelength identify quantify chemical species;абсорбционная спектроскопия;метод измеряющий поглощение электромагнитного излучения веществом зависимости длины волны используемый идентификации количественного определения химических соединений
absorption spectrum;graph showing light absorbed substance different wavelengths identify study electronic molecular structure materials;спектр поглощения;график показывающий количество света поглощаемого веществом разных длинах волн используемый изучения электронной молекулярной структуры материалов
abstraction;process simplifying complex systems focusing main features ignoring relevant details modeling theoretical frameworks;абстракция;процесс упрощения сложных систем путем концентрации основных характеристиках игнорирования значимых деталей используемый моделировании теоретических подходах
abundantspin species;nuclear spin state higher population nmr typically lowerenergy state magnetic field leading net magnetization;избыточный спиновый вид;ядерное спиновое состояние большей населённостью ямр состояние меньшей энергией магнитном поле создающее чистую намагниченность
accelerated molecular dynamics;computational method enhances sampling molecular configurations applying bias potentials accelerate rare events enabling study longtimescale processes molecular simulations;ускоренная молекулярная динамика;вычислительный метод улучшающий выборку молекулярных конфигураций путём применения смещающих потенциалов ускорения редких событий позволяет изучать долговременные процессы молекулярном моделировании
acceleration;rate change velocity object respect time vector quantity magnitude direction;ускорение;скорость изменения скорости объекта относительно времени векторная величина имеющая величину направление
acceleration free fall;acceleration object free fall influence gravity approximately 981 ms² near earths surface;ускорение свободного падения;ускорение объекта свободном падении действием силы тяжести примерно 981 мс² поверхности земли
acceptable;meeting minimum requirements standards satisfactory adequate quality;приемлемый;соответствующий минимальным требованиям стандартам удовлетворительный достаточный качеству
acceptable wavefunction;wavefunction quantum mechanics continuous singlevalued squareintegrable satisfies schrödinger equation;допустимая волновая функция;волновая функция квантовой механике является непрерывной однозначной квадратичноинтегрируемой удовлетворяет уравнению шрёдингера
acceptor level;energy level semiconductor accept electrons valence band creating holes increasing conductivity;акцепторный уровень;энергетический уровень полупроводнике способный принимать электроны валентной зоны создавая дырки увеличивая проводимость
