object;relation;subject
180;DESCRIBES;a straight angle, equivalent to half a full rotation (360), forming a straight line.
90;DESCRIBES;a right angle, which is exactly one-quarter of a full rotation (360), measuring 90 degrees.
a priori probability;DESCRIBES;the probability of an event derived from logical reasoning or prior knowledge, without empirical data.
a2 system;DESCRIBES;a classification system for molecular symmetry, denoting a specific point group in chemistry where molecules have a two-fold rotational axis and no other symmetry elements.
Abbe refractometer equation;DESCRIBES;an equation relating the refractive index of a substance to the critical angle of refraction, used in Abbe refractometers to measure refractive indices accurately.
absolute entropy;DESCRIBES;the entropy of a substance at a given temperature, calculated relative to a perfect crystal at absolute zero, where entropy is zero. It provides a reference for thermodynamic calculations.
absolute temperature scale;DESCRIBES;a temperature scale that measures temperature relative to absolute zero, the theoretical lowest possible temperature where all thermal motion ceases. The Kelvin scale is the most commonly used absolute temperature scale in scientific contexts.
absolute zero;DESCRIBES;the lowest possible temperature, theoretically at which the motion of particles that constitutes heat would be minimal, defined as 0 K on the Kelvin scale, equivalent to -273.15°C or -459.67°F.
absorbance;DESCRIBES;a logarithmic measure of the amount of light absorbed by a sample at a specific wavelength, defined as A = -log10(T), where T is the transmittance of the sample. It is commonly used in spectroscopy to quantify the concentration of a solute in a solution via the Beer-Lambert law.
the process by which atoms, molecules, or ions enter a bulk phase (gas, liquid, or solid) and;IS_A;taken up by its volume, distinct from adsorption which occurs at a surface. in chemistry, it often refers to the uptake of substances by liquids or solids.
absorption;DESCRIBES;the process by which atoms, molecules, or ions enter a bulk phase (gas, liquid, or solid) and are taken up by its volume, distinct from adsorption which occurs at a surface. In chemistry, it often refers to the uptake of substances by liquids or solids.
absorption coefficient;DESCRIBES;a measure of how much light or other radiation is absorbed by a material per unit distance, typically expressed in units of inverse length (e.g., cm⁻¹). It quantifies the attenuation of the intensity of electromagnetic waves as they pass through a medium.
absorption intensity;DESCRIBES;the measure of the amount of light absorbed by a substance at a specific wavelength, often used to determine concentration in spectroscopy.
absorption spectra;DESCRIBES;graphs showing the amount of light absorbed by a substance at different wavelengths, used to identify and quantify materials by their unique absorption patterns.
absorption spectroscopy;DESCRIBES;a technique that measures the absorption of electromagnetic radiation by a substance as a function of wavelength, used to identify and quantify chemical species.
absorption spectrum;DESCRIBES;a graph showing the amount of light absorbed by a substance at different wavelengths, used to identify and study the electronic and molecular structure of materials.
abstraction;DESCRIBES;the process of simplifying complex systems by focusing on the main features while ignoring less relevant details, often used in modeling and theoretical frameworks.
abundant-spin species;DESCRIBES;a nuclear spin state with higher population in NMR, typically the lower-energy state in a magnetic field, leading to net magnetization.
accelerated molecular dynamics;DESCRIBES;a computational method that enhances the sampling of molecular configurations by applying bias potentials to accelerate rare events, enabling the study of long-timescale processes in molecular simulations.
acceleration;DESCRIBES;the rate of change of velocity of an object with respect to time, a vector quantity with both magnitude and direction.
acceleration of free fall;DESCRIBES;the acceleration of an object in free fall under the influence of gravity alone, approximately 9.81 m/s² near Earth's surface.
acceptable;DESCRIBES;"meeting the minimum requirements or standards; satisfactory or adequate in quality."
acceptable wavefunction;DESCRIBES;a wavefunction in quantum mechanics that is continuous, single-valued, square-integrable, and satisfies the Schrödinger equation.
acceptor level;DESCRIBES;an energy level in a semiconductor that can accept electrons from the valence band, creating holes and increasing conductivity.
accommodation;DESCRIBES;the process by which the eye changes optical power to maintain clear focus on an object as its distance varies.
acetic acid;DESCRIBES;a colorless organic acid with the formula CH3COOH, the main component of vinegar, used as a solvent and in chemical synthesis.
acetylene;DESCRIBES;a colorless, highly flammable gas with the chemical formula C2H2, used as a fuel and a chemical building block. It is the simplest alkyne and burns with a very hot flame, making it useful in welding and cutting metals.
acid-base equilibria;DESCRIBES;the dynamic balance between acids and bases in a solution, governed by proton transfer reactions, where the concentrations of reactants and products remain constant over time, described by equilibrium constants like Ka and Kb.
acquisitive convention;DESCRIBES;a principle or agreement in physical chemistry where a system acquires properties or components from its surroundings under specific conditions.
a series of 15 metallic elements from actinium to lawrencium in the periodic table,;CHARACTERIZED_BY;filling of the 5f electron shell.
actinoid (actinide);DESCRIBES;a series of 15 metallic elements from actinium to lawrencium in the periodic table, characterized by filling of the 5f electron shell.
activated complex;DESCRIBES;a transient, high-energy intermediate state formed during a chemical reaction, representing the highest potential energy point along the reaction pathway.
activated complex theory;DESCRIBES;a theory explaining reaction rates by considering an intermediate transition state (activated complex) formed during the conversion of reactants to products.
activation energy;DESCRIBES;the minimum energy required for a chemical reaction to occur, often represented as Ea in the Arrhenius equation.
activation enthalpy;DESCRIBES;the minimum enthalpy required for a chemical reaction to occur, representing the energy barrier between reactants and products.
activation gibbs energy;DESCRIBES;the Gibbs free energy difference between the transition state and the reactants in a chemical reaction, determining the reaction rate.
activation-controlled limit;DESCRIBES;the regime in chemical kinetics where the reaction rate is determined by the activation energy barrier rather than diffusion or other transport processes.
the specific region of an enzyme where substrate molecules bind and undergo a chemical reaction,;CHARACTERIZED_BY;its unique three-dimensional structure and chemical properties.
active site;DESCRIBES;the specific region of an enzyme where substrate molecules bind and undergo a chemical reaction, characterized by its unique three-dimensional structure and chemical properties.
